N = 60
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.65469 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.64093 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.66768 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.6496 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.64681 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.65482 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.65133 s
1 - Val: 442
2 - Val: 404
3 - Val: 400
4 - Val: 398
5 - Val: 398
6 - Val: 398
7 - Val: 392
8 - Val: 390
9 - Val: 390
10 - Val: 390
11 - Val: 390
12 - Val: 390
13 - Val: 390
14 - Val: 390
15 - Val: 390
16 - Val: 390
17 - Val: 390
18 - Val: 384
19 - Val: 380
20 - Val: 380
21 - Val: 380
22 - Val: 380
23 - Val: 380
24 - Val: 380
25 - Val: 380
26 - Val: 380
27 - Val: 380
28 - Val: 380
29 - Val: 380
30 - Val: 380
31 - Val: 380
32 - Val: 378
33 - Val: 378
34 - Val: 378
35 - Val: 378
36 - Val: 378
37 - Val: 378
38 - Val: 378
39 - Val: 378
40 - Val: 378
41 - Val: 378
42 - Val: 378
43 - Val: 378
44 - Val: 378
45 - Val: 378
46 - Val: 378
47 - Val: 378
48 - Val: 378
49 - Val: 378
50 - Val: 378
51 - Val: 378
52 - Val: 378
53 - Val: 378
54 - Val: 378
55 - Val: 378
56 - Val: 378
57 - Val: 378
58 - Val: 378
59 - Val: 378
60 - Val: 378
61 - Val: 378
62 - Val: 372
63 - Val: 372
64 - Val: 372
65 - Val: 372
66 - Val: 372
67 - Val: 372
68 - Val: 372
69 - Val: 372
70 - Val: 372
71 - Val: 372
72 - Val: 372
73 - Val: 372
74 - Val: 372
75 - Val: 372
76 - Val: 372
77 - Val: 372
78 - Val: 372
79 - Val: 372
80 - Val: 372
81 - Val: 372
82 - Val: 372
83 - Val: 372
84 - Val: 372
85 - Val: 372
86 - Val: 372
87 - Val: 372
88 - Val: 372
89 - Val: 372
90 - Val: 372
91 - Val: 372
92 - Val: 372
93 - Val: 372
94 - Val: 372
95 - Val: 372
96 - Val: 372
97 - Val: 372
98 - Val: 372
99 - Val: 372
100 - Val: 372
101 - Val: 372
102 - Val: 372
103 - Val: 372
104 - Val: 372
105 - Val: 372
106 - Val: 372
107 - Val: 372
108 - Val: 372
109 - Val: 372
110 - Val: 372
111 - Val: 372
112 - Val: 372
113 - Val: 372
114 - Val: 372
115 - Val: 372
116 - Val: 372
117 - Val: 372
118 - Val: 372
119 - Val: 372
120 - Val: 372
FROM: 442
TO  : 372
Time: 1.69233 s
